Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Search Computing Systems","Advanced Information Systems Engineering","","","","10.1007/978-3-642-13094-6_1","Stefano CeriMarco Brambilla","2010","http://link.springer.com/chapter/10.1007/978-3-642-13094-6_1","Chapter"
"A Review of Dynamic Web Service Composition Techniques","Advanced Computing","","","","10.1007/978-3-642-17881-8_9","Demian Antony D’MelloV. S. AnanthanarayanaSupriya Salian","2011","http://link.springer.com/chapter/10.1007/978-3-642-17881-8_9","Chapter"
"Can Social Features Help Learning to Rank YouTube Videos?","Web Information Systems Engineering - WISE 2012","","","","10.1007/978-3-642-35063-4_40","Sergiu Viorel ChelaruClaudia Orellana-RodriguezIsmail Sengor Altingovde","2012","http://link.springer.com/chapter/10.1007/978-3-642-35063-4_40","Chapter"
"Semantically Enhanced Interoperability in Health Emergency Management","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","","","","10.1007/978-3-030-02671-4_23","Danai VergetiDimitrios NtalaperasDimitrios Alexandrou","2018","http://link.springer.com/chapter/10.1007/978-3-030-02671-4_23","Chapter"
"Predicting Potential Responders in Twitter: A Query Routing Algorithm","Computational Science and Its Applications – ICCSA 2012","","","","10.1007/978-3-642-31137-6_54","Cleyton Caetano de SouzaJonathas José de MagalhãesEvandro Barros de CostaJoseana Macêdo Fechine","2012","http://link.springer.com/chapter/10.1007/978-3-642-31137-6_54","Chapter"
"ALEX: Mixed-Mode Learning of Web Applications at Ease","Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications","","","","10.1007/978-3-319-47169-3_51","Alexander BainczykAlexander SchieweckMalte IsbernerTiziana MargariaJohannes NeubauerBernhard Steffen","2016","http://link.springer.com/chapter/10.1007/978-3-319-47169-3_51","Chapter"
"Incremental Evaluation of Model Queries over EMF Models","Model Driven Engineering Languages and Systems","","","","10.1007/978-3-642-16145-2_6","Gábor BergmannÁkos HorváthIstván RáthDániel VarróAndrás BaloghZoltán BaloghAndrás Ökrös","2010","http://link.springer.com/chapter/10.1007/978-3-642-16145-2_6","Chapter"
"Using Horn Clauses and Fuzzy Logic to Provide Location Intelligence Services to Mobile Users: An Implementation Account","Web Information Systems and Technologies","","","","10.1007/978-3-642-36608-6_23","Alfio CostanzoAlberto FaroConcetto Spampinato","2013","http://link.springer.com/chapter/10.1007/978-3-642-36608-6_23","Chapter"
"An Expression Processor: A Case Study in Refactoring Haskell Programs","Trends in Functional Programming","","","","10.1007/978-3-642-22941-1_3","Christopher BrownHuiqing LiSimon Thompson","2011","http://link.springer.com/chapter/10.1007/978-3-642-22941-1_3","Chapter"
"Improving OLAM with Cloud Elasticity","Computational Science and Its Applications – ICCSA 2014","","","","10.1007/978-3-319-09153-2_4","Guilherme GalanteLuis Carlos Erpen De BonaClaudio Schepke","2014","http://link.springer.com/chapter/10.1007/978-3-319-09153-2_4","Chapter"
"Playing with Our CAT and Communication-Centric Applications","Formal Techniques for Distributed Objects, Components, and Systems","","","","10.1007/978-3-319-39570-8_5","Davide BasilePierpaolo DeganoGian-Luigi FerrariEmilio Tuosto","2016","http://link.springer.com/chapter/10.1007/978-3-319-39570-8_5","Chapter"
"Domain-Specific Program Checking","Objects, Models, Components, Patterns","","","","10.1007/978-3-642-13953-6_12","Lukas RenggliStéphane DucasseTudor GîrbaOscar Nierstrasz","2010","http://link.springer.com/chapter/10.1007/978-3-642-13953-6_12","Chapter"
"A Feature-Oriented Mobile Software Development Framework to Resolve the Device Fragmentation Phenomenon for Application Developers in the Mobile Software Ecosystem","Cloud Computing","","","","10.1007/978-3-319-38904-2_20","Younghun HanGyeongmin GoSungwon KangHeuijin Lee","2016","http://link.springer.com/chapter/10.1007/978-3-319-38904-2_20","Chapter"
"An Approach for Monitoring Components Generation and Deployment for SCA Applications","Cloud Computing and Services Science","","","","10.1007/978-3-319-11561-0_6","Mohamed MohamedDjamel BelaïdSamir Tata","2014","http://link.springer.com/chapter/10.1007/978-3-319-11561-0_6","Chapter"
"On the Elasticity of Social Compute Units","Advanced Information Systems Engineering","","","","10.1007/978-3-319-07881-6_25","Mirela RiveniHong-Linh TruongSchahram Dustdar","2014","http://link.springer.com/chapter/10.1007/978-3-319-07881-6_25","Chapter"
"A Semantic Comparison of Clustering Algorithms for the Evaluation of Web-Based Similarity Measures","Computational Science and Its Applications – ICCSA 2016","","","","10.1007/978-3-319-42092-9_34","Valentina FranzoniAlfredo Milani","2016","http://link.springer.com/chapter/10.1007/978-3-319-42092-9_34","Chapter"
"Portable and Efficient Run-time Monitoring of JavaScript Applications Using Virtual Machine Layering","ECOOP 2014 – Object-Oriented Programming","","","","10.1007/978-3-662-44202-9_22","Erick LavoieBruno DufourMarc Feeley","2014","http://link.springer.com/chapter/10.1007/978-3-662-44202-9_22","Chapter"
"Turning Web Applications into Mashup Components: Issues, Models, and Solutions","Web Engineering","","","","10.1007/978-3-642-02818-2_4","Florian DanielMaristella Matera","2009","http://link.springer.com/chapter/10.1007/978-3-642-02818-2_4","Chapter"
"A Framework to Evaluate 5G Networks for Smart and Fail-Safe Communications in ERTMS/ETCS","Reliability, Safety, and Security of Railway Systems. Modelling, Analysis, Verification, and Certification","","","","10.1007/978-3-319-68499-4_3","Roberto CanonicoStefano MarroneRoberto NardoneValeria Vittorini","2017","http://link.springer.com/chapter/10.1007/978-3-319-68499-4_3","Chapter"
"The Business Graph Protocol","Information and Software Technologies","","","","10.1007/978-3-642-33308-8_19","Daniel Ritter","2012","http://link.springer.com/chapter/10.1007/978-3-642-33308-8_19","Chapter"
"Marlowe: Financial Contracts on Blockchain","Leveraging Applications of Formal Methods, Verification and Validation. Industrial Practice","","","","10.1007/978-3-030-03427-6_27","Pablo Lamela SeijasSimon Thompson","2018","http://link.springer.com/chapter/10.1007/978-3-030-03427-6_27","Chapter"
"FIWARE Open Source Standard Platform in Smart Farming - A Review","Collaborative Networks of Cognitive Systems","","","","10.1007/978-3-319-99127-6_50","Maria Angeles RodriguezLlanos CuencaAngel Ortiz","2018","http://link.springer.com/chapter/10.1007/978-3-319-99127-6_50","Chapter"
"Asynchronous User Interaction and Tool Integration in Isabelle/PIDE","Interactive Theorem Proving","","","","10.1007/978-3-319-08970-6_33","Makarius Wenzel","2014","http://link.springer.com/chapter/10.1007/978-3-319-08970-6_33","Chapter"
"Towards the Web of Models: A Rule-Driven RESTful Architecture for Distributed Systems","Semantic Web Rules","","","","10.1007/978-3-642-16289-3_21","Alexandros MarinosPaul Krause","2010","http://link.springer.com/chapter/10.1007/978-3-642-16289-3_21","Chapter"
"Web Engineering for Cloud Computing","Current Trends in Web Engineering","","","","10.1007/978-3-642-35623-0_2","Giovanni Toffetti","2012","http://link.springer.com/chapter/10.1007/978-3-642-35623-0_2","Chapter"
"cloud-ATAM: Method for Analysing Resilient Attributes of Cloud-Based Architectures","Software Engineering for Resilient Systems","","","","10.1007/978-3-319-45892-2_8","David Ebo Adjepon-Yamoah","2016","http://link.springer.com/chapter/10.1007/978-3-319-45892-2_8","Chapter"
"From Web Data to Entities and Back","Advanced Information Systems Engineering","","","","10.1007/978-3-642-13094-6_25","Zoltán MiklósNicolas BonvinPaolo BouquetMichele CatastaDaniele CordioliPeter FankhauserJulien GaugazEkaterini IoannouHristo KoshutanskiAntonio MañaClaudia NiederéeThemis PalpanasHeiko Stoermer","2010","http://link.springer.com/chapter/10.1007/978-3-642-13094-6_25","Chapter"
"Determining the Quality of Product Data Integration","On the Move to Meaningful Internet Systems: OTM 2015 Conferences","","","","10.1007/978-3-319-26148-5_16","Julian TiedekenThomas BauerJoachim HerbstManfred Reichert","2015","http://link.springer.com/chapter/10.1007/978-3-319-26148-5_16","Chapter"
"AppSpear: Bytecode Decrypting and DEX Reassembling for Packed Android Malware","Research in Attacks, Intrusions, and Defenses","","","","10.1007/978-3-319-26362-5_17","Wenbo YangYuanyuan ZhangJuanru LiJunliang ShuBodong LiWenjun HuDawu Gu","2015","http://link.springer.com/chapter/10.1007/978-3-319-26362-5_17","Chapter"
"Extending Ontology-Based Databases with Behavioral Semantics","On the Move to Meaningful Internet Systems: OTM 2012","","","","10.1007/978-3-642-33615-7_31","Youness BazharChedlia ChakrounYamine Aït-AmeurLadjel BellatrecheStéphane Jean","2012","http://link.springer.com/chapter/10.1007/978-3-642-33615-7_31","Chapter"
"Creating Minimum Viable Products in Industry-Academia Collaborations","Lean Enterprise Software and Systems","","","","10.1007/978-3-642-44930-7_9","Jürgen MünchFabian FagerholmPatrik JohnsonJanne PirttilahtiJuha TorkkelJanne Jäarvinen","2013","http://link.springer.com/chapter/10.1007/978-3-642-44930-7_9","Chapter"
"Function-Splitting Heuristics for Discovery of Microservices in Enterprise Systems","Service-Oriented Computing","","","","10.1007/978-3-030-03596-9_3","Adambarage Anuruddha Chathuranga De AlwisAlistair BarrosArtem PolyvyanyyColin Fidge","2018","http://link.springer.com/chapter/10.1007/978-3-030-03596-9_3","Chapter"
"A History-Based Model for Provisioning EC2 Spot Instances with Cost Constraints","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-319-61920-0_15","Javier FabraSergio HernándezPedro ÁlvarezJoaquín EzpeletaÁlvaro RecuencoAna Martínez","2017","http://link.springer.com/chapter/10.1007/978-3-319-61920-0_15","Chapter"
"Service Oriented Mechanisms for Smart Resource Allocation in Private Manufacturing Clouds","Exploring Services Science","","","","10.1007/978-3-319-32689-4_28","Octavian MorariuTheodor BorangiuCristina MorariuSilviu Răileanu","2016","http://link.springer.com/chapter/10.1007/978-3-319-32689-4_28","Chapter"
"Cloud Detours: A Non-intrusive Approach for Automatic Software Adaptation to the Cloud","Service Oriented and Cloud Computing","","","","10.1007/978-3-319-24072-5_13","Michel VasconcelosNabor C. MendonçaPaulo Henrique M. Maia","2015","http://link.springer.com/chapter/10.1007/978-3-319-24072-5_13","Chapter"
"Java Card Operand Stack: Fault Attacks, Combined Attacks and Countermeasures","Smart Card Research and Advanced Applications","","","","10.1007/978-3-642-27257-8_19","Guillaume BarbuGuillaume DucPhilippe Hoogvorst","2011","http://link.springer.com/chapter/10.1007/978-3-642-27257-8_19","Chapter"
"Modeling and Analyzing Openness Trade-Offs in Software Platforms: A Goal-Oriented Approach","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-319-54045-0_3","Mahsa H. SadiEric Yu","2017","http://link.springer.com/chapter/10.1007/978-3-319-54045-0_3","Chapter"
"Multi-platform Chatbot Modeling and Deployment with the Jarvis Framework","Advanced Information Systems Engineering","","","","10.1007/978-3-030-21290-2_12","Gwendal DanielJordi CabotLaurent DeruelleMustapha Derras","2019","http://link.springer.com/chapter/10.1007/978-3-030-21290-2_12","Chapter"
"Snooping Around a Fence: A Lesson from the Education Sector in a Software Service Ecosystem","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-030-13342-9_6","Djamshid SultanovKibae KimJörn Altmann","2019","http://link.springer.com/chapter/10.1007/978-3-030-13342-9_6","Chapter"
"Towards the Development of Sensor Platform for Processing Physiological Data from Wearable Sensors","Artificial Intelligence and Soft Computing","","","","10.1007/978-3-319-91262-2_16","Krzysztof KuttWojciech BinekPiotr MisiakGrzegorz J. NalepaSzymon Bobek","2018","http://link.springer.com/chapter/10.1007/978-3-319-91262-2_16","Chapter"
"A Graph-Based Cloud Architecture for Big Stream Real-Time Applications in the Internet of Things","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-14886-1_10","Laura BelliSimone CiraniGianluigi FerrariLorenzo MelegariMarco Picone","2015","http://link.springer.com/chapter/10.1007/978-3-319-14886-1_10","Chapter"
"A Distributed Framework for Organizing an Internet of Things","Mobile Lightweight Wireless Systems","","","","10.1007/978-3-642-29479-2_18","Jamie WaltersTheo KanterEnrico Savioli","2012","http://link.springer.com/chapter/10.1007/978-3-642-29479-2_18","Chapter"
"Neverlang 2 – Componentised Language Development for the JVM","Software Composition","","","","10.1007/978-3-642-39614-4_2","Walter CazzolaEdoardo Vacchi","2013","http://link.springer.com/chapter/10.1007/978-3-642-39614-4_2","Chapter"
"Scalable Distributed Two-Layer Block Based Datastore","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-319-32149-3_29","Adam KrechowiczStanisław DeniziakMariusz BedlaArkadiusz ChrobotGrzegorz Łukawski","2016","http://link.springer.com/chapter/10.1007/978-3-319-32149-3_29","Chapter"
"Non-human Modelers: Challenges and Roadmap for Reusable Self-explanation","Software Technologies: Applications and Foundations","","","","10.1007/978-3-319-74730-9_14","Antonio Garcia-DominguezNelly Bencomo","2018","http://link.springer.com/chapter/10.1007/978-3-319-74730-9_14","Chapter"
"Design of a New Cloud Computing Simulation Platform","Computational Science and Its Applications - ICCSA 2011","","","","10.1007/978-3-642-21931-3_45","A. NuñezJ. L. Vázquez-PolettiA. C. CamineroJ. CarreteroI. M. Llorente","2011","http://link.springer.com/chapter/10.1007/978-3-642-21931-3_45","Chapter"
"Security Requirements in a Federated Cloud Networking Architecture","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-33313-7_6","Philippe MassonetAnna LevinAntonio CelestiMassimo Villari","2016","http://link.springer.com/chapter/10.1007/978-3-319-33313-7_6","Chapter"
"Error-Detection in Enterprise Application Integration Solutions","ENTERprise Information Systems","","","","10.1007/978-3-642-24355-4_18","Rafael Z. FrantzRafael CorchueloCarlos Molina-Jim","2011","http://link.springer.com/chapter/10.1007/978-3-642-24355-4_18","Chapter"
"Understanding Movement and Interaction: An Ontology for Kinect-Based 3D Depth Sensors","Ubiquitous Computing and Ambient Intelligence. Context-Awareness and Context-Driven Interaction","","","","10.1007/978-3-319-03176-7_33","Natalia Díaz RodríguezRobin WikströmJohan LiliusManuel Pegalajar CuéllarMiguel Delgado Calvo Flores","2013","http://link.springer.com/chapter/10.1007/978-3-319-03176-7_33","Chapter"
"Evaluating the Importance of Randomness in Search-Based Software Engineering","Search Based Software Engineering","","","","10.1007/978-3-642-33119-0_6","Márcio de Oliveira Barros","2012","http://link.springer.com/chapter/10.1007/978-3-642-33119-0_6","Chapter"
"Implicit Staging of EDSL Expressions: A Bridge between Shallow and Deep Embedding","ECOOP 2014 – Object-Oriented Programming","","","","10.1007/978-3-662-44202-9_16","Maximilian ScherrShigeru Chiba","2014","http://link.springer.com/chapter/10.1007/978-3-662-44202-9_16","Chapter"
"Prototyping Convergence Services on Broadband Networks","Mobile Wireless Middleware, Operating Systems, and Applications","","","","10.1007/978-3-642-17758-3_8","Alice MotangaAndreas BachmannThomas Magedanz","2010","http://link.springer.com/chapter/10.1007/978-3-642-17758-3_8","Chapter"
"Enforcing End-to-End Application Security in the Cloud","Middleware 2010","","","","10.1007/978-3-642-16955-7_15","Jean BaconDavid EvansDavid M. EyersMatteo MigliavaccaPeter PietzuchBrian Shand","2010","http://link.springer.com/chapter/10.1007/978-3-642-16955-7_15","Chapter"
"Synthesis of Equivalent Method Calls in Guava","Search-Based Software Engineering","","","","10.1007/978-3-319-22183-0_19","Andrea MattavelliAlberto GoffiAlessandra Gorla","2015","http://link.springer.com/chapter/10.1007/978-3-319-22183-0_19","Chapter"
"Model Based Testing for Horizontal and Vertical Collaboration in Embedded Systems Development","Cooperative Design, Visualization, and Engineering","","","","10.1007/978-3-642-04265-2_44","Thomas TamisierHind BouziteChristophe LouisYves GaffinetFernand Feltz","2009","http://link.springer.com/chapter/10.1007/978-3-642-04265-2_44","Chapter"
"Preventing Erosion in Exception Handling Design Using Static-Architecture Conformance Checking","Software Architecture","","","","10.1007/978-3-319-65831-5_5","Juarez L. M. FilhoLincoln RochaRossana AndradeRicardo Britto","2017","http://link.springer.com/chapter/10.1007/978-3-319-65831-5_5","Chapter"
"Parallel Software Architecture for Experimental Workflows in Computational Biology on Clouds","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-642-31500-8_29","Luqman HodgkinsonJavier RosaEric A. Brewer","2012","http://link.springer.com/chapter/10.1007/978-3-642-31500-8_29","Chapter"
"The Census of the Brazilian Open-Source Community","Open Source Software: Mobile Open Source Technologies","","","","10.1007/978-3-642-55128-4_30","Gustavo PintoFernando Kamei","2014","http://link.springer.com/chapter/10.1007/978-3-642-55128-4_30","Chapter"
"Specifying and Enforcing Norms in Artificial Institutions: A Retrospective Review","Declarative Agent Languages and Technologies IX","","","","10.1007/978-3-642-29113-5_12","Nicoletta FornaraMarco Colombetti","2012","http://link.springer.com/chapter/10.1007/978-3-642-29113-5_12","Chapter"
"Big Data Spectra Analysis Using Analytical Programming and Random Decision Forests","Computer Information Systems and Industrial Management","","","","10.1007/978-3-662-45237-0_26","Petr ŠalounPeter DrábikIvan ZelinkaJaroslav Bucko","2014","http://link.springer.com/chapter/10.1007/978-3-662-45237-0_26","Chapter"
"Socio-technical Congruence in OSS Projects: Exploring Conway’s Law in FreeBSD","Open Source Software: Quality Verification","","","","10.1007/978-3-642-38928-3_8","M. M. Mahbubul SyeedImed Hammouda","2013","http://link.springer.com/chapter/10.1007/978-3-642-38928-3_8","Chapter"
"Action and Perception in Agent Programming Languages: From Exogenous to Endogenous Environments","Programming Multi-Agent Systems","","","","10.1007/978-3-642-28939-2_7","Alessandro RicciAndrea SantiMichele Piunti","2012","http://link.springer.com/chapter/10.1007/978-3-642-28939-2_7","Chapter"
"Assessing Refactoring Instances and the Maintainability Benefits of Them from Version Archives","Product-Focused Software Process Improvement","","","","10.1007/978-3-642-39259-7_25","Kenji FujiwaraKyohei FushidaNorihiro YoshidaHajimu Iida","2013","http://link.springer.com/chapter/10.1007/978-3-642-39259-7_25","Chapter"
"Maintaining Architectural Conformance during Software Development: A Practical Approach","Software Architecture","","","","10.1007/978-3-642-39031-9_19","Claire DimechDharini Balasubramaniam","2013","http://link.springer.com/chapter/10.1007/978-3-642-39031-9_19","Chapter"
"Developing Multimodal Conversational Agents: From the Use of VoiceXML to Android-Based Applications","Advances in Practical Applications of Heterogeneous Multi-Agent Systems. The PAAMS Collection","","","","10.1007/978-3-319-07551-8_32","David GriolJosé Manuel MolinaAraceli Sanchís de Miguel","2014","http://link.springer.com/chapter/10.1007/978-3-319-07551-8_32","Chapter"
"A Performance Measurement System Based on BSC","Information and Management Engineering","","","","10.1007/978-3-642-24022-5_50","Yan PengLijuan Zhou","2011","http://link.springer.com/chapter/10.1007/978-3-642-24022-5_50","Chapter"
"Q-Rapids Tool Prototype: Supporting Decision-Makers in Managing Quality in Rapid Software Development","Information Systems in the Big Data Era","","","","10.1007/978-3-319-92901-9_17","Lidia LópezSilverio Martínez-FernándezCristina GómezMichał ChoraśRafał KozikLiliana GuzmánAnna Maria VollmerXavier FranchAndreas Jedlitschka","2018","http://link.springer.com/chapter/10.1007/978-3-319-92901-9_17","Chapter"
"Towards Open Source/Data in the Context of Higher Education: Pragmatic Case Studies Deployed in Romania","Open Source Systems: Integrating Communities","","","","10.1007/978-3-319-39225-7_15","Alexandru ComanAlexandru CîteaSabin C. Buraga","2016","http://link.springer.com/chapter/10.1007/978-3-319-39225-7_15","Chapter"
"Specifying Modernization into Service-Oriented SaaS System in a Case of Public Transport Document Generator","Exploring Services Science","","","","10.1007/978-3-319-32689-4_45","Muhammad Ghufron MahfudhiTeresa Galvão Dias","2016","http://link.springer.com/chapter/10.1007/978-3-319-32689-4_45","Chapter"
"Evolving Industrial Software Architectures into a Software Product Line: A Case Study","Architectures for Adaptive Software Systems","","","","10.1007/978-3-642-02351-4_12","Heiko KoziolekRoland WeissJens Doppelhamer","2009","http://link.springer.com/chapter/10.1007/978-3-642-02351-4_12","Chapter"
"Engineering Cloud-Based Applications: Towards an Application Lifecycle","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-79090-9_4","Vasilios Andrikopoulos","2018","http://link.springer.com/chapter/10.1007/978-3-319-79090-9_4","Chapter"
"Knowledge and Ontology Engineering for Smart Services","Knowledge Science, Engineering and Management","","","","10.1007/978-3-642-39787-5_40","Roberto Carlos dos Santos PachecoJosé Francisco Salm JuniorViviane SchneiderKarine Koller","2013","http://link.springer.com/chapter/10.1007/978-3-642-39787-5_40","Chapter"
"Applied Temporal RDF: Efficient Temporal Querying of RDF Data with SPARQL","The Semantic Web: Research and Applications","","","","10.1007/978-3-642-02121-3_25","Jonas TappoletAbraham Bernstein","2009","http://link.springer.com/chapter/10.1007/978-3-642-02121-3_25","Chapter"
"Applying MDA and OMG Robotic Specification for Developing Robotic Systems","System Analysis and Modeling. Technology-Specific Aspects of Models","","","","10.1007/978-3-319-46613-2_4","Claudia PonsGabriela PérezRoxana GiandiniGabriel Baum","2016","http://link.springer.com/chapter/10.1007/978-3-319-46613-2_4","Chapter"
"Infrastructures to Engineer Open Agent Environments by Means of Electronic Institutions","Agent Environments for Multi-Agent Systems IV","","","","10.1007/978-3-319-23850-0_14","Dave de JongeJuan A. Rodriguez-AguilarBruno Rosell i GuiCarles Sierra","2015","http://link.springer.com/chapter/10.1007/978-3-319-23850-0_14","Chapter"
"A Meta-advisor Repository for Database Physical Design","Model and Data Engineering","","","","10.1007/978-3-319-45547-1_6","Abdelkader OuaredYassine OuhammouAmine Roukh","2016","http://link.springer.com/chapter/10.1007/978-3-319-45547-1_6","Chapter"
"Risk Analysis and Quantification of Vulnerability in Maritime Transportation Network Using AIS Data","Computational Logistics","","","","10.1007/978-3-319-24264-4_10","Kiyotaka IdeLoganathan PonnambalamAkira NamatameFu XiujuRick Siow Mong Goh","2015","http://link.springer.com/chapter/10.1007/978-3-319-24264-4_10","Chapter"
"When Technology Supports Urban Mobility: Improvements for Mobile Applications Based on a UX Evaluation","Human-Computer Interaction. Interaction Contexts","","","","10.1007/978-3-319-58077-7_10","Rodrigo L. A. AlmeidaLana B. MesquitaRainara M. CarvalhoRossana M. C. Andrade","2017","http://link.springer.com/chapter/10.1007/978-3-319-58077-7_10","Chapter"
"Improving Reliability of Cloud-Based Applications","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-44482-6_15","Hong Thai TranGeorge Feuerlicht","2016","http://link.springer.com/chapter/10.1007/978-3-319-44482-6_15","Chapter"
"Architecting Resilient Computing Systems: Overall Approach and Open Issues","Software Engineering for Resilient Systems","","","","10.1007/978-3-642-24124-6_5","Miruna StoicescuJean-Charles FabreMatthieu Roy","2011","http://link.springer.com/chapter/10.1007/978-3-642-24124-6_5","Chapter"
"Jive: A Generative, Interactive, Virtual, Evolutionary Music System","Applications of Evolutionary Computation","","","","10.1007/978-3-642-12242-2_35","Jianhua ShaoJames McDermottMichael O’NeillAnthony Brabazon","2010","http://link.springer.com/chapter/10.1007/978-3-642-12242-2_35","Chapter"
"Making Software Integration Really Continuous","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-28872-2_23","Mário Luís GuimarãesAntónio Rito Silva","2012","http://link.springer.com/chapter/10.1007/978-3-642-28872-2_23","Chapter"
"CDDiff: Semantic Differencing for Class Diagrams","ECOOP 2011 – Object-Oriented Programming","","","","10.1007/978-3-642-22655-7_12","Shahar MaozJan Oliver RingertBernhard Rumpe","2011","http://link.springer.com/chapter/10.1007/978-3-642-22655-7_12","Chapter"
"EvoFab: A Fully Embodied Evolutionary Fabricator","Evolvable Systems: From Biology to Hardware","","","","10.1007/978-3-642-15323-5_32","John RieffelDave Sayles","2010","http://link.springer.com/chapter/10.1007/978-3-642-15323-5_32","Chapter"
"Decouplink: Dynamic Links for Java","Software Architecture","","","","10.1007/978-3-642-23798-0_43","Martin RytterBo Nørregaard Jørgensen","2011","http://link.springer.com/chapter/10.1007/978-3-642-23798-0_43","Chapter"
"Domain-Specific Languages in Few Steps","Software Composition","","","","10.1007/978-3-642-30564-1_11","Walter Cazzola","2012","http://link.springer.com/chapter/10.1007/978-3-642-30564-1_11","Chapter"
"OpenJML: JML for Java 7 by Extending OpenJDK","NASA Formal Methods","","","","10.1007/978-3-642-20398-5_35","David R. Cok","2011","http://link.springer.com/chapter/10.1007/978-3-642-20398-5_35","Chapter"
"Uniform Access to Non-relational Database Systems: The SOS Platform","Advanced Information Systems Engineering","","","","10.1007/978-3-642-31095-9_11","Paolo AtzeniFrancesca BugiottiLuca Rossi","2012","http://link.springer.com/chapter/10.1007/978-3-642-31095-9_11","Chapter"
"Using B and ProB for Data Validation Projects","Abstract State Machines, Alloy, B, TLA, VDM, and Z","","","","10.1007/978-3-319-33600-8_10","Dominik HansenDavid SchneiderMichael Leuschel","2016","http://link.springer.com/chapter/10.1007/978-3-319-33600-8_10","Chapter"
"An IMS-Based Middleware Solution for Energy-Efficient and Cost-Effective Mobile Multimedia Services","MobileWireless Middleware, Operating Systems, and Applications","","","","10.1007/978-3-642-01802-2_21","Paolo BellavistaAntonio CorradiLuca Foschini","2009","http://link.springer.com/chapter/10.1007/978-3-642-01802-2_21","Chapter"
"Alignment-Based Querying of Linked Open Data","On the Move to Meaningful Internet Systems: OTM 2012","","","","10.1007/978-3-642-33615-7_25","Amit Krishna JoshiPrateek JainPascal HitzlerPeter Z. YehKunal VermaAmit P. ShethMariana Damova","2012","http://link.springer.com/chapter/10.1007/978-3-642-33615-7_25","Chapter"
"Linetic: Technical, Usability and Aesthetic Implications of a Ferrofluid-Based Organic User Interface","Human-Computer Interaction – INTERACT 2013","","","","10.1007/978-3-642-40477-1_11","Jeffrey Tzu Kwan Valino KohKasun KarunanayakaRyohei Nakatsu","2013","http://link.springer.com/chapter/10.1007/978-3-642-40477-1_11","Chapter"
"Mapping Aspect-Oriented Models to Aspect-Oriented Code","Models in Software Engineering","","","","10.1007/978-3-642-21210-9_12","Max E. KramerJörg Kienzle","2011","http://link.springer.com/chapter/10.1007/978-3-642-21210-9_12","Chapter"
"Second-Order Servification","Software Business. From Physical Products to Software Services and Solutions","","","","10.1007/978-3-642-39336-5_2","Johannes NeubauerBernhard Steffen","2013","http://link.springer.com/chapter/10.1007/978-3-642-39336-5_2","Chapter"
"Integrating Modeling Tools in the Development Lifecycle with OSLC: A Case Study","Model-Driven Engineering Languages and Systems","","","","10.1007/978-3-642-41533-3_10","Maged ElaasarAdam Neal","2013","http://link.springer.com/chapter/10.1007/978-3-642-41533-3_10","Chapter"
"Model-Based Filtering of Combinatorial Test Suites","Fundamental Approaches to Software Engineering","","","","10.1007/978-3-642-28872-2_30","Taha TrikiYves LedruLydie du BousquetFrédéric DadeauJulien Botella","2012","http://link.springer.com/chapter/10.1007/978-3-642-28872-2_30","Chapter"
"Comparison of Parallelisation Approaches, Languages, and Compilers for Unstructured Mesh Algorithms on GPUs","High Performance Computing Systems. Performance Modeling, Benchmarking, and Simulation","","","","10.1007/978-3-319-72971-8_2","G. D. BaloghI. Z. RegulyG. R. Mudalige","2018","http://link.springer.com/chapter/10.1007/978-3-319-72971-8_2","Chapter"
"Extension of Path Computation Element (PCE) Framework for Resource Provisioning Based on User Profile in Dynamic Circuit Network","Advanced Infocomm Technology","","","","10.1007/978-3-642-38227-7_9","Tananun OrawiwattanakulHideki OtsukiEiji KawaiShinji Shimojo","2013","http://link.springer.com/chapter/10.1007/978-3-642-38227-7_9","Chapter"
"A Lightweight Architecture for the Web-of-Things","Mobile Web Information Systems","","","","10.1007/978-3-642-40276-0_19","Tor-Morten GrønliGheorghita GhineaMuhammad Younas","2013","http://link.springer.com/chapter/10.1007/978-3-642-40276-0_19","Chapter"
"Towards Combined Functional and Non-functional Semantic Service Discovery","Service-Oriented and Cloud Computing","","","","10.1007/978-3-319-44482-6_7","Kyriakos KritikosDimitris Plexousakis","2016","http://link.springer.com/chapter/10.1007/978-3-319-44482-6_7","Chapter"
"On Programming and Policing Autonomic Computing Systems","Leveraging Applications of Formal Methods, Verification and Validation. Technologies for Mastering Change","","","","10.1007/978-3-662-45234-9_12","Michele LoretiAndrea MargheriRosario PuglieseFrancesco Tiezzi","2014","http://link.springer.com/chapter/10.1007/978-3-662-45234-9_12","Chapter"
