Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
An empirical comparison of dependency network evolution in seven software packaging ecosystems,Empirical Software Engineering,,24,1,10.1007/s10664-017-9589-y,Alexandre DecanTom MensPhilippe Grosjean,2019,http://link.springer.com/article/10.1007/s10664-017-9589-y,Article
Conducting quantitative software engineering studies with Alitheia Core,Empirical Software Engineering,,19,4,10.1007/s10664-013-9242-3,Georgios GousiosDiomidis Spinellis,2014,http://link.springer.com/article/10.1007/s10664-013-9242-3,Article
Risk-based testing via active continuous quality control,International Journal on Software Tools for Technology Transfer,,16,5,10.1007/s10009-014-0321-6,Johannes NeubauerStephan WindmüllerBernhard Steffen,2014,http://link.springer.com/article/10.1007/s10009-014-0321-6,Article
Program comprehension of domain-specific and general-purpose languages: comparison using a family of experiments,Empirical Software Engineering,,17,3,10.1007/s10664-011-9172-x,Tomaž KosarMarjan MernikJeffrey C. Carver,2012,http://link.springer.com/article/10.1007/s10664-011-9172-x,Article
Mock objects for testing java systems,Empirical Software Engineering,,24,3,10.1007/s10664-018-9663-0,Davide SpadiniMaurício AnicheMagiel BruntinkAlberto Bacchelli,2019,http://link.springer.com/article/10.1007/s10664-018-9663-0,Article
An empirical study on quality of Android applications written in Kotlin language,Empirical Software Engineering,,,,10.1007/s10664-019-09727-4,Bruno Góis MateusMatias Martinez,2019,http://link.springer.com/article/10.1007/s10664-019-09727-4,Article
Checking the reliability of socket based communication software,International Journal on Software Tools for Technology Transfer,,11,5,10.1007/s10009-009-0112-7,Pedro de la CámaraMaría del Mar GallardoPedro MerinoDavid Sanán,2009,http://link.springer.com/article/10.1007/s10009-009-0112-7,Article
Alattin: mining alternative patterns for defect detection,Automated Software Engineering,,18,3 - 4,10.1007/s10515-011-0086-z,Suresh ThummalapentaTao Xie,2011,http://link.springer.com/article/10.1007/s10515-011-0086-z,Article
Tracing and Profiling Machine Learning Dataflow Applications on GPU,International Journal of Parallel Programming,,,,10.1007/s10766-019-00630-5,Pierre ZinsMichel Dagenais,2019,http://link.springer.com/article/10.1007/s10766-019-00630-5,Article
Using architectural modifiability tactics to examine evolution qualities of Service- and Microservice-Based Systems,SICS Software-Intensive Cyber-Physical Systems,,34,2 - 3,10.1007/s00450-019-00402-z,Justus BognerStefan WagnerAlfred Zimmermann,2019,http://link.springer.com/article/10.1007/s00450-019-00402-z,Article
Facilitating the evolution of products in product line engineering by capturing and replaying configuration decisions,International Journal on Software Tools for Technology Transfer,,14,5,10.1007/s10009-012-0229-y,Wolfgang HeiderRick RabiserPaul Grünbacher,2012,http://link.springer.com/article/10.1007/s10009-012-0229-y,Article
Benchmarking library and application software with Data Envelopment Analysis,Software Quality Journal,,19,3,10.1007/s11219-010-9113-8,Alexander ChatzigeorgiouEmmanouil Stiakakis,2011,http://link.springer.com/article/10.1007/s11219-010-9113-8,Article
Model-integrating development of software systems: a flexible component-based approach,Software & Systems Modeling,,18,4,10.1007/s10270-018-0682-5,Mahdi DerakhshanmaneshJürgen EbertMarvin GriegerGregor Engels,2019,http://link.springer.com/article/10.1007/s10270-018-0682-5,Article
"What Java developers know about compatibility, and why this matters",Empirical Software Engineering,,21,3,10.1007/s10664-015-9389-1,Jens DietrichKamil JezekPremek Brada,2016,http://link.springer.com/article/10.1007/s10664-015-9389-1,Article
"Service licensing: conceptualization, formalization, and expression",Service Oriented Computing and Applications,,5,1,10.1007/s11761-011-0079-6,G. R. GangadharanVincenzo D’Andrea,2011,http://link.springer.com/article/10.1007/s11761-011-0079-6,Article
The evolution of Java build systems,Empirical Software Engineering,,17,4 - 5,10.1007/s10664-011-9169-5,Shane McIntoshBram AdamsAhmed E. Hassan,2012,http://link.springer.com/article/10.1007/s10664-011-9169-5,Article
Development as a journey: factors supporting the adoption and use of software frameworks,Journal of Software Engineering Research and Development,,6,1,10.1186/s40411-018-0050-8,Varvana MyllärniemiSari KujalaMikko RaatikainenPiia Sevońn,2018,http://link.springer.com/article/10.1186/s40411-018-0050-8,Article
Exploring the suitability of source code metrics for indicating architectural inconsistencies,Software Quality Journal,,27,1,10.1007/s11219-018-9404-z,Jörg LenhardMartin BlomSebastian Herold,2019,http://link.springer.com/article/10.1007/s11219-018-9404-z,Article
Do developers update their library dependencies?,Empirical Software Engineering,,23,1,10.1007/s10664-017-9521-5,Raula Gaikovina KulaDaniel M. GermanAli OuniTakashi IshioKatsuro Inoue,2018,http://link.springer.com/article/10.1007/s10664-017-9521-5,Article
Technologies for Web and cloud service interaction: a survey,Service Oriented Computing and Applications,,10,2,10.1007/s11761-015-0174-1,Harald Lampesberger,2016,http://link.springer.com/article/10.1007/s11761-015-0174-1,Article
"GReTL: an extensible, operational, graph-based transformation language",Software & Systems Modeling,,13,1,10.1007/s10270-012-0250-3,Jürgen EbertTassilo Horn,2014,http://link.springer.com/article/10.1007/s10270-012-0250-3,Article
Introducing a cross platform open source Cartesian Genetic Programming library,Genetic Programming and Evolvable Machines,,16,1,10.1007/s10710-014-9233-1,Andrew James TurnerJulian Francis Miller,2015,http://link.springer.com/article/10.1007/s10710-014-9233-1,Article
Towards an industrial grade IVE for Java and next generation research platform for JML,International Journal on Software Tools for Technology Transfer,,12,6,10.1007/s10009-010-0164-8,Patrice ChalinRobbyPerry R. JamesJooyong LeeGeorge Karabotsos,2010,http://link.springer.com/article/10.1007/s10009-010-0164-8,Article
Visual querying and analysis of large software repositories,Empirical Software Engineering,,14,3,10.1007/s10664-008-9068-6,Lucian VoineaAlexandru Telea,2009,http://link.springer.com/article/10.1007/s10664-008-9068-6,Article
Assessing architectural evolution: a case study,Empirical Software Engineering,,16,5,10.1007/s10664-011-9164-x,Michel WermelingerYijun YuAngela LozanoAndrea Capiluppi,2011,http://link.springer.com/article/10.1007/s10664-011-9164-x,Article
Graph and model transformation tools for model migration,Software & Systems Modeling,,13,1,10.1007/s10270-012-0245-0,Louis M. RoseMarkus HerrmannsdoerferSteffen MazanekPieter Van GorpSebastian BuchwaldTassilo HornElina KalninaAndreas KochKevin LanoBernhard SchätzManuel Wimmer,2014,http://link.springer.com/article/10.1007/s10270-012-0245-0,Article
Experiences in building a mOSAIC of clouds,"Journal of Cloud Computing: Advances, Systems and Applications",,2,1,10.1186/2192-113X-2-12,Dana PetcuBeniamino Di MartinoSalvatore VenticinqueMassimiliano RakTamás MáhrGorka Esnal LopezFabrice BritoRoberto CossuMiha StoparSvatopluk ŠperkaVlado Stankovski,2013,http://link.springer.com/article/10.1186/2192-113X-2-12,Article
A large-scale study of architectural evolution in open-source software systems,Empirical Software Engineering,,22,3,10.1007/s10664-016-9466-0,Pooyan BehnamghaderDuc Minh LeJoshua GarciaDaniel LinkArman ShahbazianNenad Medvidovic,2017,http://link.springer.com/article/10.1007/s10664-016-9466-0,Article
Requirements-driven software evolution,Computer Science - Research and Development,,28,4,10.1007/s00450-012-0232-2,Vítor E. Silva SouzaAlexei LapouchnianKonstantinos AngelopoulosJohn Mylopoulos,2013,http://link.springer.com/article/10.1007/s00450-012-0232-2,Article
Evolution of the UniTESK test development technology,Programming and Computer Software,,40,5,10.1134/S0361768814050065,V. V. KulyaminA. K. Petrenko,2014,http://link.springer.com/article/10.1134/S0361768814050065,Article
OCSO: Off-the-cloud service optimization for green efficient service resource utilization,Journal of Cloud Computing,,3,1,10.1186/s13677-014-0009-1,Daren FangXiaodong LiuLin LiuHongji Yang,2014,http://link.springer.com/article/10.1186/s13677-014-0009-1,Article
A survey on dynamic mobile malware detection,Software Quality Journal,,26,3,10.1007/s11219-017-9368-4,Ping YanZheng Yan,2018,http://link.springer.com/article/10.1007/s11219-017-9368-4,Article
Querying distilled code changes to extract executable transformations,Empirical Software Engineering,,24,1,10.1007/s10664-018-9644-3,Reinout StevensTim MolderezCoen De Roover,2019,http://link.springer.com/article/10.1007/s10664-018-9644-3,Article
Restoring security of evolving software models using graph transformation,International Journal on Software Tools for Technology Transfer,,17,3,10.1007/s10009-014-0364-8,Jens BürgerJan JürjensSven Wenzel,2015,http://link.springer.com/article/10.1007/s10009-014-0364-8,Article
Using structural decomposition and refinements for deep modeling of software architectures,Software & Systems Modeling,,18,5,10.1007/s10270-018-0701-6,Georg Hinkel,2019,http://link.springer.com/article/10.1007/s10270-018-0701-6,Article
Same-Same But Different: On Understanding Duplicates in Stack Overflow,Informatik Spektrum,,,,10.1007/s00287-019-01185-y,Mathias Ellmann,2019,http://link.springer.com/article/10.1007/s00287-019-01185-y,Article
Addressing problems with replicability and validity of repository mining studies through a smart data platform,Empirical Software Engineering,,23,2,10.1007/s10664-017-9537-x,Fabian TrautschSteffen HerboldPhilip MakedonskiJens Grabowski,2018,http://link.springer.com/article/10.1007/s10664-017-9537-x,Article
Procedure-modular specification and verification of temporal safety properties,Software & Systems Modeling,,14,1,10.1007/s10270-013-0321-0,Siavash SoleimanifardDilian GurovMarieke Huisman,2015,http://link.springer.com/article/10.1007/s10270-013-0321-0,Article
Effects of measurements on correlations of software code metrics,Empirical Software Engineering,,,,10.1007/s10664-019-09714-9,Md Abdullah Al MamunChristian BergerJörgen Hansson,2019,http://link.springer.com/article/10.1007/s10664-019-09714-9,Article
Exception handling bug hazards in Android,Empirical Software Engineering,,22,3,10.1007/s10664-016-9443-7,Roberta CoelhoLucas AlmeidaGeorgios GousiosArie van DeursenChristoph Treude,2017,http://link.springer.com/article/10.1007/s10664-016-9443-7,Article
Social group formation with mobile cloud services,Service Oriented Computing and Applications,,6,4,10.1007/s11761-012-0111-5,Satish Narayana SriramaCarlos PaniaguaHuber Flores,2012,http://link.springer.com/article/10.1007/s11761-012-0111-5,Article
Advanced prefetching and caching of models with PrefetchML,Software & Systems Modeling,,18,3,10.1007/s10270-018-0671-8,Gwendal DanielGerson SunyéJordi Cabot,2019,http://link.springer.com/article/10.1007/s10270-018-0671-8,Article
Stress-testing remote model querying APIs for relational and graph-based stores,Software & Systems Modeling,,18,2,10.1007/s10270-017-0606-9,Antonio Garcia-DominguezKonstantinos BarmpisDimitrios S. KolovosRan WeiRichard F. Paige,2019,http://link.springer.com/article/10.1007/s10270-017-0606-9,Article
What are mobile developers asking about? A large scale study using stack overflow,Empirical Software Engineering,,21,3,10.1007/s10664-015-9379-3,Christoffer RosenEmad Shihab,2016,http://link.springer.com/article/10.1007/s10664-015-9379-3,Article
Curating GitHub for engineered software projects,Empirical Software Engineering,,22,6,10.1007/s10664-017-9512-6,Nuthan MunaiahSteven KrohCraig CabreyMeiyappan Nagappan,2017,http://link.springer.com/article/10.1007/s10664-017-9512-6,Article
Monitoring energy hotspots in software,Automated Software Engineering,,22,3,10.1007/s10515-014-0171-1,Adel NoureddineRomain RouvoyLionel Seinturier,2015,http://link.springer.com/article/10.1007/s10515-014-0171-1,Article
An empirical analysis of the transition from Python 2 to Python 3,Empirical Software Engineering,,24,2,10.1007/s10664-018-9637-2,Brian A. MalloyJames F. Power,2019,http://link.springer.com/article/10.1007/s10664-018-9637-2,Article
Transparent Speculative Parallelization of Discrete Event Simulation Applications Using Global Variables,International Journal of Parallel Programming,,44,6,10.1007/s10766-016-0429-2,Alessandro PellegriniSebastiano PelusoFrancesco QuagliaRoberto Vitali,2016,http://link.springer.com/article/10.1007/s10766-016-0429-2,Article
Improving user productivity in modeling tools by explicitly modeling workflows,Software & Systems Modeling,,18,4,10.1007/s10270-018-0678-1,Miguel GamboaEugene Syriani,2019,http://link.springer.com/article/10.1007/s10270-018-0678-1,Article
Unique identification of elements in evolving software models,Software & Systems Modeling,,13,2,10.1007/s10270-012-0311-7,Sven Wenzel,2014,http://link.springer.com/article/10.1007/s10270-012-0311-7,Article
Complementary test selection criteria for model-based testing of security components,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-018-0489-2,Julien BotellaJean-François CapuronFrédéric DadeauElizabeta FourneretBruno LegeardFlorence Schadle,2018,http://link.springer.com/article/10.1007/s10009-018-0489-2,Article
Prompter,Empirical Software Engineering,,21,5,10.1007/s10664-015-9397-1,Luca PonzanelliGabriele BavotaMassimiliano Di PentaRocco OlivetoMichele Lanza,2016,http://link.springer.com/article/10.1007/s10664-015-9397-1,Article
Categorizing the Content of GitHub README Files,Empirical Software Engineering,,24,3,10.1007/s10664-018-9660-3,Gede Artha Azriadi PranaChristoph TreudeFerdian ThungThushari AtapattuDavid Lo,2019,http://link.springer.com/article/10.1007/s10664-018-9660-3,Article
From requirements to source code: a Model-Driven Engineering approach for RESTful web services,Automated Software Engineering,,24,4,10.1007/s10515-016-0206-x,Christoforos ZolotasThemistoklis DiamantopoulosKyriakos C. ChatzidimitriouAndreas L. Symeonidis,2017,http://link.springer.com/article/10.1007/s10515-016-0206-x,Article
Supporting comprehension of unfamiliar programs by modeling cues,Software Quality Journal,,25,1,10.1007/s11219-015-9303-5,Naveen KulkarniVasudeva Varma,2017,http://link.springer.com/article/10.1007/s11219-015-9303-5,Article
Software Bertillonage,Empirical Software Engineering,,18,6,10.1007/s10664-012-9199-7,Julius DaviesDaniel M. GermanMichael W. GodfreyAbram Hindle,2013,http://link.springer.com/article/10.1007/s10664-012-9199-7,Article
An empirical study of integration activities in distributions of open source software,Empirical Software Engineering,,21,3,10.1007/s10664-015-9371-y,Bram AdamsRyan KavanaghAhmed E. HassanDaniel M. German,2016,http://link.springer.com/article/10.1007/s10664-015-9371-y,Article
How changes affect software entropy: an empirical study,Empirical Software Engineering,,19,1,10.1007/s10664-012-9214-z,Gerardo CanforaLuigi CeruloMarta CimitileMassimiliano Di Penta,2014,http://link.springer.com/article/10.1007/s10664-012-9214-z,Article
"Architecture consistency: State of the practice, challenges and requirements",Empirical Software Engineering,,23,1,10.1007/s10664-017-9515-3,Nour AliSean BakerRoss O’CrowleySebastian HeroldJim Buckley,2018,http://link.springer.com/article/10.1007/s10664-017-9515-3,Article
A semi-formal description of migrating domain-specific models with evolving domains,Software & Systems Modeling,,13,2,10.1007/s10270-012-0313-5,Tihamer LevendovszkyDaniel BalasubramanianAnantha NarayananFeng ShiChris van BuskirkGabor Karsai,2014,http://link.springer.com/article/10.1007/s10270-012-0313-5,Article
"Systematic literature review of the objectives, techniques, kinds, and architectures of models at runtime",Software & Systems Modeling,,15,1,10.1007/s10270-013-0394-9,Michael SzvetitsUwe Zdun,2016,http://link.springer.com/article/10.1007/s10270-013-0394-9,Article
A declarative language to support dynamic evolution of web service business protocols,Service Oriented Computing and Applications,,11,2,10.1007/s11761-016-0204-7,Ali KhebiziHassina Seridi-BouchelaghemBouallem BenatallahFarouk Toumani,2017,http://link.springer.com/article/10.1007/s11761-016-0204-7,Article
Controllable procedural map generation via multiobjective evolution,Genetic Programming and Evolvable Machines,,14,2,10.1007/s10710-012-9174-5,Julian TogeliusMike PreussNicola BeumeSimon WessingJohan HagelbäckGeorgios N. YannakakisCorrado Grappiolo,2013,http://link.springer.com/article/10.1007/s10710-012-9174-5,Article
The next evolution of MDE: a seamless integration of machine learning into domain modeling,Software & Systems Modeling,,18,2,10.1007/s10270-017-0600-2,Thomas HartmannAssaad MoawadFrancois FouquetYves Le Traon,2019,http://link.springer.com/article/10.1007/s10270-017-0600-2,Article
How do open source communities blog?,Empirical Software Engineering,,18,6,10.1007/s10664-012-9211-2,Dennis PaganoWalid Maalej,2013,http://link.springer.com/article/10.1007/s10664-012-9211-2,Article
Evolutionary Fuzzing of Android OS Vendor System Services,Empirical Software Engineering,,,,10.1007/s10664-019-09725-6,Domenico CotroneoAntonio Ken IannilloRoberto Natella,2019,http://link.springer.com/article/10.1007/s10664-019-09725-6,Article
Link analysis algorithms for static concept location: an empirical assessment,Empirical Software Engineering,,20,6,10.1007/s10664-014-9327-7,Giuseppe ScannielloAndrian MarcusDaniele Pascale,2015,http://link.springer.com/article/10.1007/s10664-014-9327-7,Article
Discovering community patterns in open-source: a systematic approach and its evaluation,Empirical Software Engineering,,24,3,10.1007/s10664-018-9659-9,Damian A. TamburriFabio PalombaAlexander SerebrenikAndy Zaidman,2019,http://link.springer.com/article/10.1007/s10664-018-9659-9,Article
Redundancy-free analysis of multi-revision software artifacts,Empirical Software Engineering,,24,1,10.1007/s10664-018-9630-9,Carol V. AlexandruSebastiano PanichellaSebastian ProkschHarald C. Gall,2019,http://link.springer.com/article/10.1007/s10664-018-9630-9,Article
Evolving Robocode tanks for Evo Robocode,Genetic Programming and Evolvable Machines,,15,4,10.1007/s10710-014-9224-2,Robin Harper,2014,http://link.springer.com/article/10.1007/s10710-014-9224-2,Article
An extensible approach to implicit incremental model analyses,Software & Systems Modeling,,18,5,10.1007/s10270-019-00719-y,Georg HinkelRobert HeinrichRalf Reussner,2019,http://link.springer.com/article/10.1007/s10270-019-00719-y,Article
On the long-term use of visual gui testing in industrial practice: a case study,Empirical Software Engineering,,22,6,10.1007/s10664-016-9497-6,Emil AlégrothRobert Feldt,2017,http://link.springer.com/article/10.1007/s10664-016-9497-6,Article
Change-driven model transformations,Software & Systems Modeling,,11,3,10.1007/s10270-011-0197-9,Gábor BergmannIstván RáthGergely VarróDániel Varró,2012,http://link.springer.com/article/10.1007/s10270-011-0197-9,Article
Semantic tagging and linking of software engineering social content,Automated Software Engineering,,23,2,10.1007/s10515-014-0146-2,Ebrahim BagheriFaezeh Ensan,2016,http://link.springer.com/article/10.1007/s10515-014-0146-2,Article
Observing the clouds: a survey and taxonomy of cloud monitoring,Journal of Cloud Computing,,3,1,10.1186/s13677-014-0024-2,Jonathan Stuart WardAdam Barker,2014,http://link.springer.com/article/10.1186/s13677-014-0024-2,Article
What’s Spain’s Paris? Mining analogical libraries from Q&A discussions,Empirical Software Engineering,,24,3,10.1007/s10664-018-9657-y,Chunyang ChenZhenchang XingYang Liu,2019,http://link.springer.com/article/10.1007/s10664-018-9657-y,Article
Virtual machine introspection: towards bridging the semantic gap,Journal of Cloud Computing,,3,1,10.1186/s13677-014-0016-2,Asit MoreShashikala Tapaswi,2014,http://link.springer.com/article/10.1186/s13677-014-0016-2,Article
A study of build inflation in 30 million CPAN builds on 13 Perl versions and 10 operating systems,Empirical Software Engineering,,,,10.1007/s10664-019-09709-6,Mahdis ZolfaghariniaBram AdamsYann-Gaël Guéhéneuc,2019,http://link.springer.com/article/10.1007/s10664-019-09709-6,Article
Integrating river basin DSSs with model checking,International Journal on Software Tools for Technology Transfer,,20,5,10.1007/s10009-017-0478-x,María del Mar GallardoPedro MerinoLaura PanizoAlberto Salmerón,2018,http://link.springer.com/article/10.1007/s10009-017-0478-x,Article
The Android OS stack and its vulnerabilities: an empirical study,Empirical Software Engineering,,,,10.1007/s10664-019-09689-7,Alejandro Mazuera-RozoJairo Bautista-MoraMario Linares-VásquezSandra RuedaGabriele Bavota,2019,http://link.springer.com/article/10.1007/s10664-019-09689-7,Article
On negative results when using sentiment analysis tools for software engineering research,Empirical Software Engineering,,22,5,10.1007/s10664-016-9493-x,Robbert JongelingProshanta SarkarSubhajit DattaAlexander Serebrenik,2017,http://link.springer.com/article/10.1007/s10664-016-9493-x,Article
What your plug-in test suites really test: an integration perspective on test suite understanding,Empirical Software Engineering,,18,5,10.1007/s10664-012-9235-7,Michaela GreilerArie van Deursen,2013,http://link.springer.com/article/10.1007/s10664-012-9235-7,Article
Module superimposition: a composition technique for rule-based model transformation languages,Software & Systems Modeling,,9,3,10.1007/s10270-009-0134-3,Dennis WagelaarRagnhild Van Der StraetenDirk Deridder,2010,http://link.springer.com/article/10.1007/s10270-009-0134-3,Article
Lessons learned from building model-driven development tools,Software & Systems Modeling,,11,4,10.1007/s10270-012-0257-9,Richard F. PaigeDániel Varró,2012,http://link.springer.com/article/10.1007/s10270-012-0257-9,Article
Mining architectural violations from version history,Empirical Software Engineering,,21,3,10.1007/s10664-014-9348-2,Cristiano MaffortMarco Tulio ValenteRicardo TerraMariza BigonhaNicolas AnquetilAndré Hora,2016,http://link.springer.com/article/10.1007/s10664-014-9348-2,Article
Code clones and developer behavior: results of two surveys of the clone research community,Empirical Software Engineering,,21,4,10.1007/s10664-015-9394-4,Debarshi ChatterjiJeffrey C. CarverNicholas A. Kraft,2016,http://link.springer.com/article/10.1007/s10664-015-9394-4,Article
"Fragile base-class problem, problem?",Empirical Software Engineering,,22,5,10.1007/s10664-016-9448-2,Aminata SabanéYann-Gaël GuéhéneucVenera ArnaoudovaGiuliano Antoniol,2017,http://link.springer.com/article/10.1007/s10664-016-9448-2,Article
Backward compatibility of software interfaces: Steps towards automatic verification,Programming and Computer Software,,38,5,10.1134/S0361768812050052,A. PonomarenkoV. Rubanov,2012,http://link.springer.com/article/10.1134/S0361768812050052,Article
